iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence,shortest,id,src,dst,identifier
GNB,GW,2427.0,23755.0,23755.0,cacoca,12303.0,-14.9126044,11.105238,1,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,6166,,,,,21496.853321954026,0,0,0,1
GNB,GW,2422.0,23708.0,23708.0,eb candjanbari,,-15.00961509,12.48716963,3,school,mapping,2018.0,10.0,14.0,50,4.0,0.0,0.0,50,0,0.0,0.0,50,0.0,0.0,0.0,1,33507,0.08,0.0,0.0,0.0754716981132075,13787.269549115776,1,1,1,2
GNB,GW,2422.0,23708.0,23708.0,eb cuboroto,,-15.17003186,12.50190239,3,school,mapping,2018.0,10.0,14.0,50,8.0,0.0,0.0,50,0,0.0,0.0,50,0.0,0.0,0.0,1,33508,0.16,0.0,0.0,0.1509433962264151,5722.73568266401,2,2,2,3
GNB,GW,2422.0,23708.0,23708.0,eb guidadji,,-15.42491631,12.53584142,3,school,mapping,2018.0,10.0,14.0,50,0.0,0.0,0.0,50,0,0.0,0.0,50,0.0,0.0,0.0,1,33509,0.0,0.0,0.0,0.0,23926.142791914554,3,3,3,4
GNB,GW,2422.0,23708.0,23708.0,eb jumbembe,,-15.09695532,12.57289204,3,school,mapping,2018.0,10.0,13.0,50,2.0,0.0,0.0,50,0,0.0,0.0,50,0.0,0.0,0.0,1,33510,0.04,0.0,0.0,0.0377358490566037,11476.672413175536,4,4,4,5
GNB,GW,2422.0,23708.0,23708.0,ebu unidade africana,,-15.21719754,12.48193651,3,school,mapping,2018.0,10.0,14.0,50,0.0,0.0,0.0,50,0,0.0,0.0,50,0.0,0.0,0.0,1,33511,0.0,0.0,0.0,0.0,5722.73568266401,5,5,5,6
GNB,GW,2423.0,23742.0,23742.0,imbunga,12272.0,-15.08333,11.48333,3,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,6164,,,,,13105.937967393984,6,6,6,7
GNB,GW,2427.0,23755.0,23755.0,incala,12306.0,-15.1048,11.369866,1,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,19273,,,,,13105.937967393984,7,7,7,8
GNB,GW,2422.0,23730.0,23730.0,mantefa,12291.0,-15.32,12.10556,1,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,19267,,,,,44382.22270345297,8,8,8,9
GNB,GW,2410.0,23668.0,23668.0,queroane,12301.0,-14.516128,12.162846,1,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,19245,,,,,59139.35749579408,9,9,9,10
GNB,GW,2407.0,23679.0,23679.0,quinhamel/dorse,12287.0,-15.8583873,11.8956399,1,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,6163,,,,,64519.08375097433,10,10,10,11
GNB,GW,2427.0,23755.0,23755.0,quitafine,,-15.08333,11.01667,3,,,1984.0,1.0,5.0,203,44.0,,,203,14,,,203,9.0,,,3,29649,0.2167487684729064,0.0689655172413793,0.0443349753694581,0.2859402471805615,21496.853321954026,11,11,11,12
GNB,GW,2410.0,23668.0,23668.0,xitole,12302.0,-14.81541,11.73342,1,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,19247,,,,,41198.072018146064,12,12,12,13
